month,time_period,total_count,number_of_records,average_hourly_count,median_hourly_count,standard_deviation,coefficient_of_variation
2025-01,weekday_offpeak,1484752.0,126140,11.770667512287934,3.0,22.190469124907548,1.8852345546029492
2025-01,weekday_peak,1333508.0,42078,31.69133513950283,13.0,51.30423297491512,1.6188725640329704
2025-01,weekend_public_holiday,462831.0,68610,6.745824223874071,2.0,13.720705400542826,2.033955369305952
2025-02,weekday_offpeak,1465900.0,115547,12.686612374185396,3.0,23.273429270348476,1.8344872992025074
2025-02,weekday_peak,1329005.0,38518,34.5034788929851,14.0,54.18968899696684,1.5705572520684035
2025-02,weekend_public_holiday,619553.0,61632,10.052456516095535,3.0,18.97448579271755,1.8875471644504473
2025-03,weekday_offpeak,1990760.0,120683,16.49577819576908,4.0,30.15797397099945,1.8282237802357526
2025-03,weekday_peak,1698362.0,40190,42.258322965911916,18.0,65.67089805538903,1.5540346479997111
2025-03,weekend_public_holiday,1009561.0,76612,13.177583146243409,3.0,25.40753625000318,1.928087720489642
2025-04,weekday_offpeak,3055620.0,115047,26.559753839735066,6.0,49.71235087127369,1.87171730473273
2025-04,weekday_peak,1860285.0,38336,48.525798205342234,21.0,80.41352664605353,1.6571293954975224
2025-04,weekend_public_holiday,1231699.0,76800,16.037747395833332,4.0,32.85399419116248,2.0485416923138513
2025-05,weekday_offpeak,2940779.0,115363,25.49152674601042,5.0,48.770465080181296,1.9132029856867705
2025-05,weekday_peak,1815696.0,38457,47.2136672127311,20.0,80.20907405693018,1.698852870198185
2025-05,weekend_public_holiday,1598385.0,84626,18.887635005790184,5.0,34.85246364056773,1.8452529196949947
2025-06,weekday_offpeak,3166565.0,114878,27.56459026097251,6.0,51.94911872587548,1.8846323574570942
2025-06,weekday_peak,1959073.0,38293,51.16008147703236,22.0,85.10814620356585,1.663565493768301
2025-06,weekend_public_holiday,1499326.0,76604,19.572424416479556,5.0,44.19147049346995,2.2578434614498595
2025-07,weekday_offpeak,3377953.0,131468,25.694108071926248,6.0,47.63858030795635,1.8540663164722557
2025-07,weekday_peak,2096466.0,43830,47.83175906913073,21.0,78.083930883291,1.6324704004809258
2025-07,weekend_public_holiday,1235496.0,61012,20.250049170654954,6.0,38.42424793652247,1.89748911781431
2025-08,weekday_offpeak,2792107.0,119805,23.305429656525188,6.0,42.39475611497983,1.8190935219728892
2025-08,weekday_peak,1701507.0,39936,42.60584435096154,19.0,66.36686278310245,1.5576938749625946
2025-08,weekend_public_holiday,1383007.0,76152,18.161138249816158,5.0,33.31604163938856,1.8344688081280263
2025-09,weekday_offpeak,2999717.0,125136,23.971654839534587,6.0,43.09321079793812,1.7976735893455231
2025-09,weekday_peak,1785985.0,41706,42.82321488514842,20.0,67.64250505199978,1.5795755931313549
2025-09,weekend_public_holiday,1162648.0,60672,19.16284282700422,5.0,33.36031378334624,1.7408854252217207
2025-10,weekday_offpeak,2269821.0,118992,19.07540843081888,5.0,35.023726929182374,1.836066947462936
2025-10,weekday_peak,1417514.0,39658,35.7434565535327,16.0,56.80011903268013,1.5891053778643658
2025-10,weekend_public_holiday,845700.0,75720,11.16877971473851,3.0,20.87072774434266,1.8686667905896015
2025-11,weekday_offpeak,1799885.0,113277,15.889236120306858,4.0,28.424106777332465,1.7888907032482018
2025-11,weekday_peak,1544663.0,37762,40.90522218102855,18.0,61.885297037438065,1.5128947781669764
2025-11,weekend_public_holiday,786715.0,75468,10.424484549742937,3.0,17.896941377033855,1.716817871582455
2025-12,weekday_offpeak,1706475.0,118992,14.341090157321501,3.0,25.798238347077227,1.7989035745589084
2025-12,weekday_peak,1269701.0,39663,32.012228021077576,12.0,51.6002566128549,1.611892073831291
2025-12,weekend_public_holiday,601990.0,75588,7.964094829867174,2.0,14.873164061920487,1.8675272431642482
2026-01,weekday_offpeak,727387.0,118686,6.12866723960703,1.0,14.189483226615138,2.3152640977004597
2026-01,weekday_peak,611635.0,39560,15.460945399393326,4.0,30.690483915931747,1.9850328115857658
2026-01,weekend_public_holiday,303073.0,75328,4.023377761257434,1.0,9.385387135317055,2.3327133797110373
2026-02,weekday_offpeak,1062108.0,112942,9.404012679074215,2.0,20.148712857419078,2.1425654712539832
2026-02,weekday_peak,919142.0,37650,24.412802124834,9.0,42.05765696421579,1.7227705672276148
2026-02,weekend_public_holiday,407115.0,60216,6.76091072140295,2.0,14.840277712753517,2.195011637378052
