season,hour,mean_hourly,n,share_of_day
summer,0,1.5646817248459959,14610,0.002405468615811729
summer,1,1.1540146485043465,14609,0.0017741282300957613
summer,2,1.9149839140256006,14609,0.0029440068429419904
summer,3,6.092682592922171,14609,0.009366605700478292
summer,4,12.994660460021906,14608,0.019977384162768886
summer,5,33.31590115682114,14609,0.051218310642764595
summer,6,50.967563128721004,14613,0.07835515145587096
summer,7,36.039830276485084,14612,0.05540595206849429
summer,8,28.650656814449917,14616,0.044046181849752876
summer,9,30.86152162014231,14616,0.047445062158410656
summer,10,34.685960591133004,14616,0.053324576037638
summer,11,37.88635741652983,14616,0.05824471666393265
summer,12,41.84645911734519,14615,0.06433279208877445
summer,13,46.4034487477761,14614,0.07133849514295945
summer,14,52.09867250581634,14614,0.0800940661913396
summer,15,59.72314219241823,14614,0.09181556983779773
summer,16,55.75619269193923,14614,0.08571696692553361
summer,17,38.96578623237991,14614,0.05990418011793684
summer,18,27.57670726700424,14614,0.042395141967121124
summer,19,20.453127138360475,14614,0.0314436825363802
summer,20,15.128027918434379,14614,0.02325712366871239
summer,21,8.811345285342822,14614,0.013546150766897316
summer,22,4.793143560968934,14614,0.007368755079008584
summer,23,2.783700561105789,14614,0.004279531248578072
winter,0,1.0371244188467144,14411,0.002740902289501215
winter,1,0.6214340251266746,14407,0.0016423197750350161
winter,2,0.5081557576178247,14407,0.0013429490755089194
winter,3,1.037620601096689,14407,0.002742213595107613
winter,4,3.4722010133962655,14407,0.009176298941846493
winter,5,7.516415631290345,14407,0.019864309853542594
winter,6,24.02644547789269,14407,0.0634968555577567
winter,7,35.238564586659265,14407,0.09312813448333822
winter,8,23.072559366754618,14402,0.06097593465527801
winter,9,16.55351809404737,14397,0.043747476020020395
winter,10,17.769642236887808,14395,0.04696143703265924
winter,11,20.482495137538205,14396,0.054130938195057064
winter,12,23.43688376614359,14402,0.06193876762137172
winter,13,25.57922510762394,14402,0.06760052640464886
winter,14,28.733842415827837,14405,0.07593751823073194
winter,15,30.791131774339046,14411,0.08137450246371361
winter,16,33.91208104919853,14411,0.08962251673994849
winter,17,30.8794670737631,14411,0.08160795413068371
winter,18,20.01596003053223,14411,0.05289798376867559
winter,19,12.104225938519187,14411,0.03198893014631707
winter,20,8.929775865658177,14411,0.023599524483409795
winter,21,6.894031922276197,14410,0.018219480263200777
winter,22,3.8639833448993754,14410,0.010211697462881324
winter,23,1.9111727966689798,14410,0.005050828809765655
